2,3,13
0,1,15
0,2,15
0,1,15
1,0,14
6,9,9
7,10,8
1,0,14
6,8,9
5,13,10
8,7,7
3,7,12
6,11,9
2,7,13
2,13,13
6,10,9
1,0,14
4,9,11
6,10,9
5,10,10
1,5,14
3,12,12
7,8,8
1,0,14
4,5,11
6,9,9
1,4,14
7,8,8
1,4,14
4,5,11
0,0,15
0,0,15
0,0,15
0,0,15
0,0,15
0,0,15
0,0,15
0,2,15
0,0,15
0,0,15
0,0,15
0,0,15
0,0,15
0,0,15
0,0,15
0,0,15
0,0,15
0,0,15
0,0,15
0,0,15
0,0,15
0,0,15
0,0,15
0,0,15
0,0,15
0,2,15
0,0,15
0,0,15
0,0,15
0,2,15
1,7,14
1,7,14
1,7,14
1,7,14
2,8,13
1,7,14
1,7,14
1,7,14
1,7,14
1,7,14
1,8,14
1,7,14
1,7,14
1,7,14
2,12,13
1,7,14
1,7,14
1,7,14
1,7,14
1,7,14
2,7,13
1,7,14
1,7,14
1,7,14
1,7,14
1,7,14
1,7,14
1,7,14
1,7,14
1,7,14
