15,8,0
15,7,0
15,12,0
15,10,0
15,10,0
15,13,0
15,9,0
15,10,0
15,8,0
14,12,1
14,6,1
15,9,0
15,5,0
14,9,1
15,8,0
15,9,0
15,9,0
15,10,0
15,7,0
15,6,0
15,7,0
14,9,1
15,8,0
15,4,0
15,8,0
15,4,0
15,6,0
15,5,0
15,9,0
15,6,0
1,7,14
0,0,15
0,0,15
0,9,15
1,5,14
0,7,15
0,6,15
0,2,15
0,3,15
0,7,15
0,9,15
0,5,15
0,12,15
0,6,15
0,5,15
0,10,15
1,10,14
0,8,15
0,4,15
1,8,14
3,5,12
0,6,15
2,2,13
2,6,13
0,4,15
0,2,15
1,6,14
1,7,14
0,11,15
0,8,15
9,28,6
8,35,7
8,38,7
8,33,7
9,33,6
10,29,5
8,41,7
9,29,6
8,38,7
8,39,7
9,39,7
8,32,7
10,43,6
8,37,7
8,40,7
8,41,7
10,37,8
9,40,6
11,46,8
10,30,5
8,31,7
9,35,6
9,30,6
10,28,5
8,33,7
8,35,7
8,32,7
8,33,7
8,42,7
8,39,7
