learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
5100.0,0.168785714,0.0,5100.0,87.3,68.09718551863425,70.18779342723005,61.398176291793305,3145.0,0.0,0.0,0.0
5200.0,0.171998894,0.0,5200.0,87.3,67.9454820797577,69.68973747016707,61.16207951070336,3245.0,0.0,0.0,0.0
5300.0,0.175263476,0.0,5300.0,87.3,67.7127399934917,69.39759036144578,60.80246913580246,3345.0,0.0,0.0,0.0
5400.0,0.178485608,0.0,5400.0,87.7,68.37883695819835,70.4326923076923,61.32075471698113,3445.0,0.0,0.0,0.0
5500.0,0.181700402,0.0,5500.0,86.9,66.40991189653226,69.10377358490565,59.3167701863354,3545.0,0.0,0.0,0.0
5600.0,0.184965909,0.0,5600.0,87.3,66.97524443519866,70.11764705882354,59.68253968253967,3645.0,0.0,0.0,0.0
5700.0,0.188043627,0.0,5700.0,87.7,68.1380167858253,71.72413793103448,60.95238095238095,3745.0,0.0,0.0,0.0
5800.0,0.191079468,0.0,5800.0,87.6,67.84816034433582,72.25950782997762,60.63492063492063,3845.0,0.0,0.0,0.0
5900.0,0.194186799,0.0,5900.0,86.9,66.06815379674048,70.36199095022624,58.805031446540866,3945.0,0.0,0.0,0.0
6000.0,0.197226991,0.0,6000.0,86.4,65.0563466410413,69.438202247191,57.89473684210525,4045.0,0.0,0.0,0.0
6100.0,0.200316872,0.0,6100.0,86.7,64.93577710754434,69.63470319634702,57.371794871794876,4145.0,0.0,0.0,0.0
